BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key,Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs,,,,,,,
10:8C:CF:B4:B1:4B, 2015-02-11 11:34:01, 2015-02-11 11:35:33,6,54, WPA2, CCMP, MGT,-53,287,111,   0.  0.  0.  0,13, bloomu-secure, ,E6:58:3E:F3:A4:70, 2015-02-11 11:35:22, 2015-02-11 11:35:22,-38,3, (not associated) ,,,,,,,,
10:8C:CF:B4:B1:40, 2015-02-11 11:34:03, 2015-02-11 11:35:34,6,54, WPA2, CCMP, MGT,-52,297,167,   0.  0.  0.  0,6, bloomu, ,F0:24:75:7C:3D:2A, 2015-02-11 11:33:49, 2015-02-11 11:35:22,-43,7, (not associated) , bloomu,,,,,,,
10:8C:CF:B4:B1:4A, 2015-02-11 11:34:01, 2015-02-11 11:35:33,6,54, OPN ,       ,   ,-51,290,0,   0.  0.  0.  0,11, bloomu-open, ,68:09:27:6E:B1:E1, 2015-02-11 11:34:44, 2015-02-11 11:35:21,-49,31, DC:7B:94:87:B3:AB, bloomu-secure,,,,,,,
10:8C:CF:B4:B1:42, 2015-02-11 11:34:03, 2015-02-11 11:35:33,6,54, WPA2, CCMP,PSK,-49,273,0,   0.  0.  0.  0,10, bloomu-psk, ,0C:3E:9F:D3:45:0B, 2015-02-11 11:32:34, 2015-02-11 11:35:21,-51,57, DC:7B:94:87:B3:A0, bloomu,,,,,,,
10:8C:CF:39:3D:6B, 2015-02-11 11:33:50, 2015-02-11 11:35:46,1,54, WPA2, CCMP, MGT,-43,2,2,   0.  0.  0.  0,13, bloomu-secure, ,A0:88:B4:D4:BB:A4, 2015-02-11 11:34:15, 2015-02-11 11:35:21,-51,49, DC:7B:94:87:B3:AB,,,,,,,,
10:8C:CF:39:3D:6A, 2015-02-11 11:33:07, 2015-02-11 11:35:46,1,54, OPN ,       ,   ,-40,3,0,   0.  0.  0.  0,11, bloomu-open, ,78:FD:94:2D:80:D5, 2015-02-11 11:32:40, 2015-02-11 11:35:22,-51,73, DC:7B:94:87:B3:AB, bloomu-secure,,,,,,,
10:8C:CF:39:3D:60, 2015-02-11 11:32:32, 2015-02-11 11:35:46,1,54, WPA2OPN , CCMP, MGT,-40,1,13,   0.  0.  0.  0,6, bloomu, ,A0:88:B4:D4:A6:64, 2015-02-11 11:34:04, 2015-02-11 11:35:21,-53,33, DC:7B:94:87:B3:AB, bloomu-secure,,,,,,,
E8:04:62:0A:27:DB, 2015-02-11 11:33:51, 2015-02-11 11:35:47,11,54, WPA2, CCMP, MGT,-37,1,5,   0.  0.  0.  0,13, bloomu-secure, ,84:38:38:2F:43:95, 2015-02-11 11:32:46, 2015-02-11 11:35:21,-53,4, DC:7B:94:87:B3:A0, bloomu,,,,,,,
E8:04:62:0A:27:D2, 2015-02-11 11:33:51, 2015-02-11 11:35:47,11,54, WPA2, CCMP,PSK,-35,1,0,   0.  0.  0.  0,10, bloomu-psk, ,10:A5:D0:5E:5E:13, 2015-02-11 11:34:48, 2015-02-11 11:35:19,-55,10, (not associated) , bloomu-secure,,,,,,,
10:8C:CF:38:5D:5B, 2015-02-11 11:33:08, 2015-02-11 11:35:47,11,54, WPA2, CCMP, MGT,-29,0,1,   0.  0.  0.  0,13, bloomu-secure, ,A0:88:B4:D4:C4:AC, 2015-02-11 11:34:42, 2015-02-11 11:35:21,-57,2, DC:7B:94:87:B3:AB, bloomu-secure,,,,,,,
10:8C:CF:38:5D:5A, 2015-02-11 11:33:08, 2015-02-11 11:35:47,11,54, OPN ,       ,   ,-28,2,0,   0.  0.  0.  0,11, bloomu-open, ,A0:88:B4:D4:C7:50, 2015-02-11 11:34:13, 2015-02-11 11:35:22,-58,6, (not associated) , bloomu-secure,,,,,,,
10:8C:CF:38:5D:52, 2015-02-11 11:33:08, 2015-02-11 11:35:47,11,54, WPA2, CCMP,PSK,-28,3,0,   0.  0.  0.  0,10, bloomu-psk, ,DC:9B:9C:5E:82:EA, 2015-02-11 11:35:22, 2015-02-11 11:35:22,-59,1, (not associated) , bloomu,,,,,,,
DC:7B:94:87:B3:A0, 2015-02-11 11:32:15, 2015-02-11 11:36:03,6,54, WPA2, CCMP, MGT,-47,1407,738,   0.  0.  0.  0,6, bloomu, ,A8:86:DD:54:E0:BF, 2015-02-11 11:34:41, 2015-02-11 11:35:11,-40,8, (not associated) , bloomu,,,,,,,
40:F4:EC:DB:22:E0, 2015-02-11 11:32:50, 2015-02-11 11:36:07,6,-1,     ,       ,   ,-1,0,0,   0.  0.  0.  0,0, , ,24:E3:14:69:37:65, 2015-02-11 11:35:10, 2015-02-11 11:35:10,-42,1, 10:8C:CF:B4:B1:40,,,,,,,,
E8:04:62:0A:27:80, 2015-02-11 11:32:28, 2015-02-11 11:36:27,6,-1, OPN ,       ,   ,-1,0,2,   0.  0.  0.  0,0, , ,8E:A1:C5:F7:18:64, 2015-02-11 11:35:11, 2015-02-11 11:35:11,-46,1, (not associated) ,,,,,,,,
58:BC:27:13:A1:0A, 2015-02-11 11:32:54, 2015-02-11 11:36:35,6,54, OPN ,       ,   ,-51,863,353, 172. 20. 26. 60,11, bloomu-open, ,FA:98:D6:20:E3:6B, 2015-02-11 11:35:11, 2015-02-11 11:35:11,-50,1, (not associated) ,,,,,,,,
58:BC:27:13:A1:02, 2015-02-11 11:32:54, 2015-02-11 11:36:33,6,54, WPA2, CCMP,PSK,-50,694,0,   0.  0.  0.  0,10, bloomu-psk, ,88:63:DF:DB:05:C7, 2015-02-11 11:34:47, 2015-02-11 11:35:12,-51,7, (not associated) , bloomu-secure,,,,,,,
58:BC:27:13:A1:0B, 2015-02-11 11:32:55, 2015-02-11 11:36:33,6,54, WPA2, CCMP, MGT,-49,846,336,   0.  0.  0.  0,13, bloomu-secure, ,6E:6F:23:A2:F4:31, 2015-02-11 11:35:08, 2015-02-11 11:35:08,-55,1, (not associated) ,,,,,,,,
10:8C:CF:B1:85:AB, 2015-02-11 11:32:31, 2015-02-11 11:36:45,6,54, WPA2, CCMP, MGT,-53,7,2,   0.  0.  0.  0,13, bloomu-secure, ,F0:25:B7:5D:45:E1, 2015-02-11 11:34:22, 2015-02-11 11:35:09,-56,3, (not associated) , bloomu-secure,,,,,,,
10:8C:CF:B1:85:A2, 2015-02-11 11:33:03, 2015-02-11 11:36:46,6,54, WPA2, CCMP,PSK,-52,5,0,   0.  0.  0.  0,10, bloomu-psk, ,FC:C2:DE:BC:08:D7, 2015-02-11 11:33:57, 2015-02-11 11:34:58,-49,11, (not associated) ,,,,,,,,
10:8C:CF:B1:85:A0, 2015-02-11 11:32:47, 2015-02-11 11:36:46,6,54, WPA2OPN , CCMP, MGT,-51,4,2,   0.  0.  0.  0,6, bloomu, ,F6:15:80:D6:9F:1D, 2015-02-11 11:35:00, 2015-02-11 11:35:01,-51,2, (not associated) ,,,,,,,,
58:BC:27:13:89:5A, 2015-02-11 11:32:42, 2015-02-11 11:36:46,6,54, OPN ,       ,   ,-50,377,0,   0.  0.  0.  0,11, bloomu-open, ,F8:84:F2:68:3E:5B, 2015-02-11 11:35:00, 2015-02-11 11:35:00,-55,2, (not associated) ,,,,,,,,
88:75:56:14:6D:B0, 2015-02-11 11:32:18, 2015-02-11 11:36:47,6,54, WPA2, CCMP, MGT,-50,270,908,   0.  0.  0.  0,6, bloomu, ,CC:78:5F:97:E3:61, 2015-02-11 11:34:07, 2015-02-11 11:34:52,-40,3, (not associated) ,,,,,,,,
88:75:56:14:6D:BB, 2015-02-11 11:32:16, 2015-02-11 11:36:47,6,54, WPA2OPN , CCMP, MGT,-49,398,421,   0.  0.  0.  0,13, bloomu-secure, ,5C:0A:5B:92:40:C4, 2015-02-11 11:34:50, 2015-02-11 11:34:50,-51,2, 10:8C:CF:B4:B1:40,,,,,,,,
58:BC:27:13:89:5B, 2015-02-11 11:32:38, 2015-02-11 11:36:46,6,54, WPA2, CCMP, MGT,-49,408,860,   0.  0.  0.  0,13, bloomu-secure, ,CE:91:7C:CA:A4:25, 2015-02-11 11:34:49, 2015-02-11 11:34:49,-51,1, (not associated) ,,,,,,,,
88:75:56:14:6D:BA, 2015-02-11 11:32:18, 2015-02-11 11:36:47,6,54, OPN ,       ,   ,-47,416,0,   0.  0.  0.  0,11, bloomu-open, ,BA:D8:D3:27:28:AC, 2015-02-11 11:33:23, 2015-02-11 11:34:50,-53,4, (not associated) ,,,,,,,,
40:F4:EC:DA:F9:C0, 2015-02-11 11:36:52, 2015-02-11 11:37:06,6,-1,     ,       ,   ,-1,0,0,   0.  0.  0.  0,0, , ,A0:88:B4:D4:BD:B4, 2015-02-11 11:34:13, 2015-02-11 11:34:48,-54,54, DC:7B:94:87:B3:AB, bloomu-secure,,,,,,,
10:8C:CF:EA:AD:C2, 2015-02-11 11:36:14, 2015-02-11 11:38:37,6,54, WPA2, CCMP,PSK,-40,59,0,   0.  0.  0.  0,10, bloomu-psk, ,8C:58:77:78:C0:AC, 2015-02-11 11:33:13, 2015-02-11 11:34:52,-62,3, (not associated) , bloomu-secure,,,,,,,
10:8C:CF:EA:39:00, 2015-02-11 11:37:10, 2015-02-11 11:39:06,11,54, WPA2, CCMP, MGT,-52,0,0,   0.  0.  0.  0,6, bloomu, ,54:9F:13:5D:41:D8, 2015-02-11 11:34:39, 2015-02-11 11:34:39,-39,1, (not associated) ,,,,,,,,
E8:04:62:0A:47:FB, 2015-02-11 11:39:10, 2015-02-11 11:39:17,11,54, WPA2, CCMP, MGT,-52,0,0,   0.  0.  0.  0,13, bloomu-secure, ,B2:DA:3C:3F:11:7E, 2015-02-11 11:34:34, 2015-02-11 11:34:39,-40,6, 00:25:00:FF:94:73,,,,,,,,
E8:04:62:0A:47:F0, 2015-02-11 11:32:30, 2015-02-11 11:39:17,11,54, WPA2OPN , CCMP, MGT,-49,0,2,   0.  0.  0.  0,6, bloomu, ,60:92:17:16:CD:5E, 2015-02-11 11:34:19, 2015-02-11 11:34:39,-50,14, DC:7B:94:87:B3:AB, bloomu-secure,,,,,,,
1A:45:CB:28:58:46, 2015-02-11 11:37:08, 2015-02-11 11:39:17,10,54, OPN ,       ,   ,-1,1,0,   0.  0.  0.  0,11, airportthru, ,A0:88:B4:D6:48:48, 2015-02-11 11:34:40, 2015-02-11 11:34:40,-56,1, (not associated) ,,,,,,,,
E8:04:62:0A:47:F2, 2015-02-11 11:39:10, 2015-02-11 11:39:26,11,54, WPA2, CCMP,PSK,-51,0,0,   0.  0.  0.  0,10, bloomu-psk, ,24:E3:14:75:FC:B5, 2015-02-11 11:34:38, 2015-02-11 11:34:38,-56,3, (not associated) , bloomu,,,,,,,
40:F4:EC:B2:DF:8B, 2015-02-11 11:37:08, 2015-02-11 11:39:26,11,54, WPA2, CCMP, MGT,-51,1,0,   0.  0.  0.  0,13, bloomu-secure, ,A0:88:B4:D6:3B:8C, 2015-02-11 11:34:41, 2015-02-11 11:34:42,-57,2, (not associated) ,,,,,,,,
10:8C:CF:EA:C1:8B, 2015-02-11 11:39:16, 2015-02-11 11:39:27,11,54, WPA2, CCMP, MGT,-50,0,0,   0.  0.  0.  0,13, bloomu-secure, ,A0:88:B4:D5:97:68, 2015-02-11 11:32:22, 2015-02-11 11:34:39,-57,3, (not associated) , bloomu-secure,,,,,,,
10:8C:CF:EA:C1:82, 2015-02-11 11:39:16, 2015-02-11 11:39:26,11,54, WPA2, CCMP,PSK,-48,0,0,   0.  0.  0.  0,10, bloomu-psk, ,1C:99:4C:28:55:3B, 2015-02-11 11:34:40, 2015-02-11 11:34:40,-60,1, (not associated) , bloomu,,,,,,,
00:26:F2:15:8E:C6, 2015-02-11 11:39:18, 2015-02-11 11:39:36,11,54, OPN ,       ,   ,-58,0,0,   0.  0.  0.  0,7, NETGEAR, ,48:D7:05:70:09:D7, 2015-02-11 11:33:48, 2015-02-11 11:34:42,-61,4, E8:04:62:0A:33:90,,,,,,,,
10:8C:CF:EA:39:0A, 2015-02-11 11:37:10, 2015-02-11 11:39:33,11,54, OPN ,       ,   ,-53,0,0,   0.  0.  0.  0,11, bloomu-open, ,0C:3E:9F:BF:EA:4A, 2015-02-11 11:33:56, 2015-02-11 11:34:41,-61,2, (not associated) ,,,,,,,,
40:F4:EC:B2:DF:82, 2015-02-11 11:37:08, 2015-02-11 11:39:33,11,54, WPA2, CCMP,PSK,-52,1,0,   0.  0.  0.  0,10, bloomu-psk, ,A0:88:B4:D5:3A:A8, 2015-02-11 11:34:31, 2015-02-11 11:34:32,-45,5, (not associated) , bloomu-secure,,,,,,,
40:F4:EC:B2:DF:80, 2015-02-11 11:37:08, 2015-02-11 11:39:35,11,54, WPA2, CCMP, MGT,-51,679,482,   0.  0.  0.  0,6, bloomu, ,A0:88:B4:D4:B6:2C, 2015-02-11 11:34:04, 2015-02-11 11:34:32,-46,17, DC:7B:94:87:B3:AB,,,,,,,,
10:8C:CF:EA:C1:8A, 2015-02-11 11:39:16, 2015-02-11 11:39:37,11,54, OPN ,       ,   ,-49,0,0,   0.  0.  0.  0,11, bloomu-open, ,F0:25:B7:0D:92:A1, 2015-02-11 11:34:27, 2015-02-11 11:34:31,-48,4, (not associated) ,,,,,,,,
10:8C:CF:EA:C1:80, 2015-02-11 11:32:15, 2015-02-11 11:39:35,11,54, WPA2OPN , CCMP, MGT,-49,0,2,   0.  0.  0.  0,6, bloomu, ,A0:88:B4:D5:3C:4C, 2015-02-11 11:34:32, 2015-02-11 11:34:32,-51,4, (not associated) ,,,,,,,,
00:23:AB:BC:D8:C2, 2015-02-11 11:32:02, 2015-02-11 11:40:54,6,54, WPA2, CCMP,PSK,-40,958,0,   0.  0.  0.  0,10, bloomu-psk, ,F0:CB:A1:98:74:EA, 2015-02-11 11:33:40, 2015-02-11 11:34:31,-51,2, (not associated) ,,,,,,,,
00:23:AB:BC:D8:CA, 2015-02-11 11:32:02, 2015-02-11 11:41:14,6,54, OPN ,       ,   ,-47,953,61, 172. 20. 59. 62,11, bloomu-open, ,92:E8:D6:F0:E6:AF, 2015-02-11 11:34:31, 2015-02-11 11:34:31,-55,2, (not associated) ,,,,,,,,
00:23:AB:BC:D8:C0, 2015-02-11 11:32:02, 2015-02-11 11:41:23,6,54, WPA2, CCMP, MGT,-47,1508,13812,   0.  0.  0.  0,6, bloomu, ,DC:F1:10:FE:B1:64, 2015-02-11 11:34:31, 2015-02-11 11:34:31,-55,1, (not associated) ,,,,,,,,
10:8C:CF:B4:AE:22, 2015-02-11 11:36:09, 2015-02-11 11:42:37,6,54, WPA2, CCMP,PSK,-47,5,0,   0.  0.  0.  0,10, bloomu-psk, ,98:F1:70:9A:C5:ED, 2015-02-11 11:34:20, 2015-02-11 11:34:20,-43,3, (not associated) ,,,,,,,,
10:8C:CF:B4:AE:2A, 2015-02-11 11:36:09, 2015-02-11 11:42:36,6,54, OPN ,       ,   ,-44,1,2,   0.  0.  0.  0,11, bloomu-open, ,A0:88:B4:D4:A5:64, 2015-02-11 11:34:17, 2015-02-11 11:34:18,-44,4, (not associated) , bloomu-secure,,,,,,,
10:8C:CF:EA:13:9B, 2015-02-11 11:42:49, 2015-02-11 11:43:02,11,54, WPA2, CCMP, MGT,-53,0,0,   0.  0.  0.  0,13, bloomu-secure, ,A4:D1:D2:12:CC:B8, 2015-02-11 11:32:48, 2015-02-11 11:34:19,-46,5, (not associated) ,,,,,,,,
10:8C:CF:EA:13:92, 2015-02-11 11:42:49, 2015-02-11 11:43:03,11,54, WPA2, CCMP,PSK,-51,0,0,   0.  0.  0.  0,10, bloomu-psk, ,18:F6:43:81:70:C3, 2015-02-11 11:34:18, 2015-02-11 11:34:21,-50,4, (not associated) , bloomu,,,,,,,
10:8C:CF:EA:13:9A, 2015-02-11 11:42:49, 2015-02-11 11:43:02,11,54, OPN ,       ,   ,-52,0,0,   0.  0.  0.  0,11, bloomu-open, ,78:4B:87:78:D3:E4, 2015-02-11 11:33:32, 2015-02-11 11:34:11,-51,7, (not associated) ,,,,,,,,
10:8C:CF:B1:E8:6B, 2015-02-11 11:39:13, 2015-02-11 11:43:01,11,54, WPA2, CCMP, MGT,-51,0,1,   0.  0.  0.  0,13, bloomu-secure, ,A0:88:B4:D4:9D:68, 2015-02-11 11:34:08, 2015-02-11 11:34:08,-55,5, (not associated) ,,,,,,,,
10:8C:CF:B1:E8:60, 2015-02-11 11:32:40, 2015-02-11 11:43:01,11,54, WPA2OPN , CCMP, MGT,-51,0,2,   0.  0.  0.  0,6, bloomu, ,A0:88:B4:D6:4E:44, 2015-02-11 11:34:12, 2015-02-11 11:34:12,-58,1, (not associated) ,,,,,,,,
10:8C:CF:EA:13:90, 2015-02-11 11:39:18, 2015-02-11 11:43:03,11,54, WPA2, CCMP, MGT,-50,1,0,   0.  0.  0.  0,6, bloomu, ,E2:0F:D9:C7:BE:61, 2015-02-11 11:33:17, 2015-02-11 11:34:02,-43,2, (not associated) ,,,,,,,,
10:8C:CF:B1:E8:6A, 2015-02-11 11:39:13, 2015-02-11 11:43:02,11,54, OPN ,       ,   ,-49,1,0,   0.  0.  0.  0,11, bloomu-open, ,F2:81:43:C5:F8:A1, 2015-02-11 11:34:01, 2015-02-11 11:34:01,-46,2, (not associated) ,,,,,,,,
10:8C:CF:EA:C2:4A, 2015-02-11 11:41:31, 2015-02-11 11:42:46,6,54, OPN ,       ,   ,-49,0,0,   0.  0.  0.  0,11, bloomu-open, ,18:F6:43:58:86:DF, 2015-02-11 11:33:15, 2015-02-11 11:34:01,-51,4, (not associated) ,,,,,,,,
10:8C:CF:B4:AE:2B, 2015-02-11 11:36:08, 2015-02-11 11:42:43,6,54, WPA2, CCMP, MGT,-48,1,16,   0.  0.  0.  0,13, bloomu-secure, ,88:30:8A:19:15:06, 2015-02-11 11:34:02, 2015-02-11 11:34:02,-53,1, (not associated) ,,,,,,,,
10:8C:CF:EA:C2:4B, 2015-02-11 11:36:21, 2015-02-11 11:42:46,6,54, WPA2, CCMP, MGT,-47,0,1,   0.  0.  0.  0,13, bloomu-secure, ,E0:B5:2D:D7:C6:E9, 2015-02-11 11:33:59, 2015-02-11 11:33:59,-58,2, (not associated) ,,,,,,,,
10:8C:CF:B1:E8:62, 2015-02-11 11:39:13, 2015-02-11 11:43:00,11,54, WPA2, CCMP,PSK,-46,1,0,   0.  0.  0.  0,10, bloomu-psk, ,8C:29:37:30:11:31, 2015-02-11 11:33:03, 2015-02-11 11:33:59,-62,158, 00:23:AB:BC:D8:C0, bloomu,,,,,,,
10:8C:CF:B4:AE:20, 2015-02-11 11:32:34, 2015-02-11 11:42:43,6,54, WPA2OPN , CCMP, MGT,-46,7,32,   0.  0.  0.  0,6, bloomu, ,78:4B:87:7F:23:F2, 2015-02-11 11:33:14, 2015-02-11 11:33:49,-43,35, 58:BC:27:13:A1:0A,,,,,,,,
00:1C:F9:C1:F0:1B, 2015-02-11 11:29:04, 2015-02-11 11:43:03,11,54, WPA2, CCMP, MGT,-41,5,0,   0.  0.  0.  0,13, bloomu-secure, ,48:D7:05:7B:4F:78, 2015-02-11 11:33:48, 2015-02-11 11:33:48,-51,2, (not associated) , bloomu-secure,,,,,,,
10:8C:CF:B4:AC:60, 2015-02-11 11:41:01, 2015-02-11 11:42:44,1,54, WPA2, CCMP, MGT,-42,0,0,   0.  0.  0.  0,6, bloomu, ,3C:15:C2:54:FD:A7, 2015-02-11 11:33:42, 2015-02-11 11:33:42,-42,2, (not associated) ,,,,,,,,
00:1C:F9:C1:F0:10, 2015-02-11 11:29:03, 2015-02-11 11:43:02,11,54, WPA2, CCMP, MGT,-42,4,7,   0.  0.  0.  0,6, bloomu, ,A0:88:B4:D5:AA:18, 2015-02-11 11:33:42, 2015-02-11 11:33:42,-57,1, (not associated) ,,,,,,,,
00:1C:F9:C1:F0:1A, 2015-02-11 11:29:03, 2015-02-11 11:43:03,11,54, OPN ,       ,   ,-40,5,0,   0.  0.  0.  0,11, bloomu-open, ,88:12:4E:09:04:32, 2015-02-11 11:33:42, 2015-02-11 11:33:42,-60,4, (not associated) , ccb25539e2b8,GALAXY_S4_2178,,,,,,
10:8C:CF:EA:B2:80, 2015-02-11 11:36:15, 2015-02-11 11:42:44,1,54, WPA2OPN , CCMP, MGT,-41,0,1,   0.  0.  0.  0,6, bloomu, ,F0:24:75:7D:0A:FE, 2015-02-11 11:33:28, 2015-02-11 11:33:28,-1,4, 88:75:56:14:6D:B0,,,,,,,,
00:1C:F9:C1:F0:12, 2015-02-11 11:29:04, 2015-02-11 11:43:03,11,54, WPA2, CCMP,PSK,-40,5,0,   0.  0.  0.  0,10, bloomu-psk, ,98:F1:70:02:24:37, 2015-02-11 11:33:29, 2015-02-11 11:33:29,-31,5, (not associated) ,,,,,,,,
10:8C:CF:B4:AC:6A, 2015-02-11 11:41:01, 2015-02-11 11:42:44,1,54, OPN ,       ,   ,-39,0,0,   0.  0.  0.  0,11, bloomu-open, ,34:23:BA:25:0B:73, 2015-02-11 11:32:53, 2015-02-11 11:33:29,-53,77, DC:7B:94:87:B3:AA,,,,,,,,
40:F4:EC:DA:F7:72, 2015-02-11 11:41:06, 2015-02-11 11:43:03,11,54, WPA2, CCMP,PSK,-39,1,0,   0.  0.  0.  0,10, bloomu-psk, ,90:B6:86:28:5B:8D, 2015-02-11 11:33:21, 2015-02-11 11:33:21,-1,1, E8:04:62:0A:33:9B,,,,,,,,
40:F4:EC:DA:F7:7A, 2015-02-11 11:41:06, 2015-02-11 11:43:03,11,54, OPN ,       ,   ,-39,0,0,   0.  0.  0.  0,11, bloomu-open, ,AC:FD:EC:10:C0:52, 2015-02-11 11:33:12, 2015-02-11 11:33:19,-47,7, 58:BC:27:13:A1:00, bloomu,,,,,,,
10:8C:CF:B4:AC:6B, 2015-02-11 11:41:01, 2015-02-11 11:42:44,1,54, WPA2, CCMP, MGT,-38,0,0,   0.  0.  0.  0,13, bloomu-secure, ,2C:BE:08:AB:E6:45, 2015-02-11 11:33:16, 2015-02-11 11:33:20,-52,26, DC:7B:94:87:B3:A0, bloomu,,,,,,,
10:8C:CF:EA:C0:5B, 2015-02-11 11:40:45, 2015-02-11 11:42:49,6,54, WPA2, CCMP, MGT,-38,0,1,   0.  0.  0.  0,13, bloomu-secure, ,AC:FD:EC:49:E4:C8, 2015-02-11 11:33:19, 2015-02-11 11:33:19,-55,1, (not associated) , bloomu,,,,,,,
10:8C:CF:EA:C0:50, 2015-02-11 11:40:52, 2015-02-11 11:42:47,6,54, WPA2, CCMP, MGT,-38,0,0,   0.  0.  0.  0,6, bloomu, ,D8:BB:2C:81:1B:50, 2015-02-11 11:32:16, 2015-02-11 11:33:00,-49,59, 00:23:AB:BC:D8:CB, bloomu-secure,,,,,,,
10:8C:CF:EA:C0:5A, 2015-02-11 11:40:09, 2015-02-11 11:42:47,6,54, OPN ,       ,   ,-38,1,0,   0.  0.  0.  0,11, bloomu-open, ,CC:3A:61:02:D1:80, 2015-02-11 11:32:25, 2015-02-11 11:33:01,-52,3, (not associated) , bloomu,,,,,,,
40:F4:EC:DA:F7:70, 2015-02-11 11:41:06, 2015-02-11 11:43:03,11,54, WPA2, CCMP, MGT,-43,88,180,   0.  0.  0.  0,6, bloomu, ,F4:09:D8:A0:4D:F5, 2015-02-11 11:33:00, 2015-02-11 11:33:00,-54,1, (not associated) ,,,,,,,,
40:F4:EC:DA:F7:7B, 2015-02-11 11:41:06, 2015-02-11 11:43:03,11,54, WPA2, CCMP, MGT,-40,1,0,   0.  0.  0.  0,13, bloomu-secure, ,5C:95:AE:B1:A8:D3, 2015-02-11 11:33:01, 2015-02-11 11:33:01,-60,1, (not associated) ,,,,,,,,
10:8C:CF:EA:C0:52, 2015-02-11 11:40:53, 2015-02-11 11:42:47,6,54, WPA2, CCMP,PSK,-36,0,0,   0.  0.  0.  0,10, bloomu-psk, ,78:4B:87:C3:02:66, 2015-02-11 11:32:25, 2015-02-11 11:33:01,-60,5, (not associated) , bloomu,,,,,,,
B0:00:B4:21:B2:5A, 2015-02-11 11:36:55, 2015-02-11 11:42:47,6,54, OPN ,       ,   ,-30,1,0,   0.  0.  0.  0,11, bloomu-open, ,00:23:12:0F:4E:52, 2015-02-11 11:33:01, 2015-02-11 11:33:01,-63,2, (not associated) , ITG@Avalon31,HOME-A178,,,,,,
B0:00:B4:21:B2:52, 2015-02-11 11:36:31, 2015-02-11 11:42:47,6,54, WPA2, CCMP,PSK,-30,2,0,   0.  0.  0.  0,10, bloomu-psk, ,5C:F8:A1:2B:69:C6, 2015-02-11 11:32:59, 2015-02-11 11:32:59,-63,1, (not associated) ,,,,,,,,
B0:00:B4:21:B2:5B, 2015-02-11 11:32:25, 2015-02-11 11:42:47,6,54, WPA2, CCMP, MGT,-29,1,3,   0.  0.  0.  0,13, bloomu-secure, ,04:DB:56:25:65:81, 2015-02-11 11:32:49, 2015-02-11 11:32:49,-1,7, 00:23:AB:BC:D8:C0,,,,,,,,
B0:00:B4:21:B2:50, 2015-02-11 11:36:13, 2015-02-11 11:42:49,6,54, WPA2, CCMP, MGT,-27,511,1577,   0.  0.  0.  0,6, bloomu, ,CC:78:5F:57:5C:0E, 2015-02-11 11:32:52, 2015-02-11 11:32:52,-44,1, (not associated) , bloomu,,,,,,,
00:25:00:FF:94:73, 2015-02-11 11:30:56, 2015-02-11 11:42:49,6,-1, OPN ,       ,   ,-1,0,3,   0.  0.  0.  0,0, , ,88:12:4E:08:03:4D, 2015-02-11 11:31:25, 2015-02-11 11:32:48,-49,73, (not associated) , bloomu-secure,,,,,,,
,,,,,,,,,,,,,,,8A:73:37:8E:D7:77, 2015-02-11 11:32:48, 2015-02-11 11:32:48,-54,2, (not associated) ,,,,,,,,
,,,,,,,,,,,,,,,A4:4E:31:2D:15:08, 2015-02-11 11:32:52, 2015-02-11 11:32:52,-59,1, (not associated) , bloomu-secure,,,,,,,
,,,,,,,,,,,,,,,8C:58:77:1D:E7:5D, 2015-02-11 11:32:10, 2015-02-11 11:32:31,-60,17, 00:1C:F9:C1:EF:A0, bloomu,,,,,,,
,,,,,,,,,,,,,,,BC:52:B7:13:8E:1A, 2015-02-11 11:32:20, 2015-02-11 11:32:20,-1,7, 00:23:AB:BC:D8:C0,,,,,,,,
,,,,,,,,,,,,,,,78:7E:61:76:64:B6, 2015-02-11 11:32:09, 2015-02-11 11:32:19,-1,17, 00:23:AB:BC:D8:C0,,,,,,,,
,,,,,,,,,,,,,,,34:E2:FD:C4:F5:7A, 2015-02-11 11:32:10, 2015-02-11 11:32:10,-1,2, 00:23:AB:BC:D8:C0,,,,,,,,
,,,,,,,,,,,,,,,0C:3E:9F:91:B4:0F, 2015-02-11 11:32:02, 2015-02-11 11:32:02,-53,4, (not associated) , bloomu-secure,,,,,,,
,,,,,,,,,,,,,,,E0:B5:2D:E0:69:CB, 2015-02-11 11:31:48, 2015-02-11 11:31:48,-57,1, (not associated) , bloomu,,,,,,,
,,,,,,,,,,,,,,,34:4D:F7:47:09:37, 2015-02-11 11:31:11, 2015-02-11 11:31:42,-48,26, (not associated) ,,,,,,,,
,,,,,,,,,,,,,,,0E:04:CD:92:5F:56, 2015-02-11 11:31:25, 2015-02-11 11:31:40,-53,40, 00:25:00:FF:94:73,,,,,,,,
,,,,,,,,,,,,,,,24:A2:E1:79:86:13, 2015-02-11 11:30:34, 2015-02-11 11:31:40,-55,2, E8:04:62:0A:5D:FB, bloomu-secure,,,,,,,
,,,,,,,,,,,,,,,34:23:BA:CA:F2:47, 2015-02-11 11:30:39, 2015-02-11 11:31:40,-60,30, (not associated) , HOME-57C2,tsunami,Jjenrette,,,,,
